Job_Titles,Company_Names,Salary,Job_Location,Job_Link,Joblist_Date
Energy Data Analyst - Kolkata,Energy Aspects,None,Greater Kolkata Area,https://in.linkedin.com/jobs/view/analytics-data-analytics-at-factspan-analytics-3627623594?refId=qb02hNI76GffYWIhZdzWag%3D%3D&trackingId=nTwWoR3ceS%2FYvRzIWwWZjQ%3D%3D&position=17&pageNum=9&trk=public_jobs_jserp-result_search-card,3 months ago
Data Analyst II,VARITE INC,None,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/marketing-metrics-reporting-specialist-marketing-analytics-at-google-operations-center-3727989967?refId=qb02hNI76GffYWIhZdzWag%3D%3D&trackingId=XwgcCr%2BfexJWFm0lcwXsyQ%3D%3D&position=18&pageNum=9&trk=public_jobs_jserp-result_search-card,2 months ago
Interesting Job Opportunity: Lead Business Analyst - R/SQL/Python,Porter,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/competitive-intelligence-analyst-at-ge-digital-3728819666?refId=qb02hNI76GffYWIhZdzWag%3D%3D&trackingId=qWsyMCN%2FliksW8y27nzqrA%3D%3D&position=19&pageNum=9&trk=public_jobs_jserp-result_search-card,2 months ago
"Analytics, Data Analytics",Factspan Analytics,None,"Bengaluru North, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-jiva-technology-ltd-3678189922?refId=qb02hNI76GffYWIhZdzWag%3D%3D&trackingId=82ICw%2BkwSSWBKzS2aUyQgQ%3D%3D&position=20&pageNum=9&trk=public_jobs_jserp-result_search-card,2 weeks ago
Marketing - Metrics & Reporting Specialist - Marketing Analytics,Google Operations Center,None,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/senior-manager-performance-central-support-reporting-at-bristol-myers-squibb-3754846289?refId=qb02hNI76GffYWIhZdzWag%3D%3D&trackingId=wbN%2FZywzeNkTxtn%2B%2BbWXgg%3D%3D&position=21&pageNum=9&trk=public_jobs_jserp-result_search-card,1 week ago
Competitive Intelligence Analyst,GE Digital,None,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-analyst-at-m-corp-services-3737176944?refId=qb02hNI76GffYWIhZdzWag%3D%3D&trackingId=Nbw6JcUdvzzS2xzDU7NICg%3D%3D&position=22&pageNum=9&trk=public_jobs_jserp-result_search-card,2 months ago
Data Analyst,Jiva Technology Ltd,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/power-bi-analyst-at-skan-ai-3741762199?refId=qb02hNI76GffYWIhZdzWag%3D%3D&trackingId=Gc9LGDbZcGVucpIMFnjSvQ%3D%3D&position=23&pageNum=9&trk=public_jobs_jserp-result_search-card,1 week ago
Senior Manager Performance Central Support - Reporting,Bristol Myers Squibb,None,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-analyst-at-mantys-yc-w23-3682589483?refId=qb02hNI76GffYWIhZdzWag%3D%3D&trackingId=TdYo%2FAQ5PDpeck5xnxFkNA%3D%3D&position=24&pageNum=9&trk=public_jobs_jserp-result_search-card,1 week ago
Data Analyst,M-Corp Services,None,"Navi Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/analytics-consultant-at-tellius-3726822247?refId=qb02hNI76GffYWIhZdzWag%3D%3D&trackingId=rh6IOgFO0NWHPaGalTtc0Q%3D%3D&position=25&pageNum=9&trk=public_jobs_jserp-result_search-card,2 days ago
Power BI Analyst,Skan.ai,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/sales-data-analyst-at-briq-3752433480?refId=p4kaaE88BWsHOObt9TMeKg%3D%3D&trackingId=n%2FyfK6obilKtlOt4uMyzLA%3D%3D&position=1&pageNum=10&trk=public_jobs_jserp-result_search-card,3 days ago
Data Analyst,Mantys (YC W23),None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/mis-and-analytics-at-acme-services-3647609492?refId=p4kaaE88BWsHOObt9TMeKg%3D%3D&trackingId=IV5rxreQY8cnHPFhab7fLQ%3D%3D&position=2&pageNum=10&trk=public_jobs_jserp-result_search-card,2 months ago
Analytics Consultant,Tellius,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/sr-business-intelligence-analyst-at-gartner-3752453579?refId=p4kaaE88BWsHOObt9TMeKg%3D%3D&trackingId=5XnPx3kLddOHrpdjt9orKQ%3D%3D&position=3&pageNum=10&trk=public_jobs_jserp-result_search-card,2 months ago
Sales Data Analyst,Briq,None,India,https://in.linkedin.com/jobs/view/quality-associate-last-mile-analytics-and-quality-lmaq-at-amazon-3748865865?refId=p4kaaE88BWsHOObt9TMeKg%3D%3D&trackingId=cF7B7p22PkBiF7OUitEdEw%3D%3D&position=4&pageNum=10&trk=public_jobs_jserp-result_search-card,3 weeks ago
MIS and Analytics,Acme Services,None,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-at-info-origin-inc-3755960386?refId=p4kaaE88BWsHOObt9TMeKg%3D%3D&trackingId=vbqH%2BfzpluS%2Fy38hHjRsrw%3D%3D&position=5&pageNum=10&trk=public_jobs_jserp-result_search-card,3 weeks ago
Sr Business Intelligence Analyst,Gartner,None,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/r-d-life-sciences-business-analyst-at-pepsico-3665123470?refId=p4kaaE88BWsHOObt9TMeKg%3D%3D&trackingId=vu1z%2FeDdtGM27bUuLzq01Q%3D%3D&position=6&pageNum=10&trk=public_jobs_jserp-result_search-card,3 months ago
"Quality Associate, Last Mile Analytics and Quality (LMAQ)",Amazon,None,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-analyst-1-at-fynd-shopsense-retail-technologies-ltd-3691073873?refId=p4kaaE88BWsHOObt9TMeKg%3D%3D&trackingId=pItr85yq7QP%2FhO6nmaGT7w%3D%3D&position=7&pageNum=10&trk=public_jobs_jserp-result_search-card,1 month ago
Data Analyst,Info Origin Inc.,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-sql-database-maintenance-at-dubai-jobs-gulf-jobs-jobs-in-dubai-qatar-kuwait-boyen-haddin-the-giant-hr-consultant-3687655113?refId=p4kaaE88BWsHOObt9TMeKg%3D%3D&trackingId=KYkALEeP7yhQf46TroxOuQ%3D%3D&position=8&pageNum=10&trk=public_jobs_jserp-result_search-card,1 month ago
R&D Life Sciences Business Analyst,PepsiCo,None,"Peerancheru, Telangana, India",https://in.linkedin.com/jobs/view/data-analytics-digital-adobe-sql-at-jpmorgan-chase-co-3747036156?refId=p4kaaE88BWsHOObt9TMeKg%3D%3D&trackingId=fjAbQCjpK%2BPXTOTWOl3BvQ%3D%3D&position=9&pageNum=10&trk=public_jobs_jserp-result_search-card,3 days ago
Data Analyst - 1,Fynd (Shopsense Retail Technologies Ltd.),None,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/senior-data-analyst-at-satwic-inc-3743850042?refId=p4kaaE88BWsHOObt9TMeKg%3D%3D&trackingId=WhunrxnWOfucGm91DPF7jw%3D%3D&position=10&pageNum=10&trk=public_jobs_jserp-result_search-card,3 weeks ago
Data Analyst - SQL/ Database Maintenance,"Dubai Jobs, Gulf Jobs, Jobs in Dubai, Qatar, Kuwait - Boyen Haddin & The Giant HR Consultant",None,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/data-analyst-1-at-certara-3750166605?refId=p4kaaE88BWsHOObt9TMeKg%3D%3D&trackingId=uv5ezeBABd3uWgVaLoCxbg%3D%3D&position=11&pageNum=10&trk=public_jobs_jserp-result_search-card,3 weeks ago
Data Analytics -Digital (Adobe&SQL),JPMorgan Chase & Co.,None,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-at-antal-international-3745096053?refId=p4kaaE88BWsHOObt9TMeKg%3D%3D&trackingId=y75zS%2BysH0kWRDygh1GgHQ%3D%3D&position=12&pageNum=10&trk=public_jobs_jserp-result_search-card,6 days ago
Senior Data Analyst,Satwic Inc,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-target-3735431007?refId=p4kaaE88BWsHOObt9TMeKg%3D%3D&trackingId=cgkCO923XuwyEFBlN%2BrwTQ%3D%3D&position=13&pageNum=10&trk=public_jobs_jserp-result_search-card,1 week ago
Data Analyst 1,Certara,None,"Secunderābād, Telangana, India",https://in.linkedin.com/jobs/view/business-analyst-t500-9013-at-talent500-3756512309?refId=p4kaaE88BWsHOObt9TMeKg%3D%3D&trackingId=uv8dO5W40p4yNOqpczo9zA%3D%3D&position=14&pageNum=10&trk=public_jobs_jserp-result_search-card,2 weeks ago
Data Analyst,Antal International,None,"Delhi, Delhi, India",https://in.linkedin.com/jobs/view/senior-director-executive-insights-at-freshworks-3716915353?refId=p4kaaE88BWsHOObt9TMeKg%3D%3D&trackingId=BwlUASj0vjLFXOUE88HWyw%3D%3D&position=15&pageNum=10&trk=public_jobs_jserp-result_search-card,1 week ago
Data Analyst,Target,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/interesting-job-opportunity-sigmoid-analytics-senior-director-analytics-at-sigmoid-3739095321?refId=p4kaaE88BWsHOObt9TMeKg%3D%3D&trackingId=6DLLRAG%2BgA%2FW8aGUfFBTJw%3D%3D&position=16&pageNum=10&trk=public_jobs_jserp-result_search-card,1 week ago
Business Analyst [T500-9013],Talent500,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/performance-analyst-at-innovalus-technologies-3732016750?refId=p4kaaE88BWsHOObt9TMeKg%3D%3D&trackingId=v6GbQtpihlY%2FlL0%2FfBVqwQ%3D%3D&position=17&pageNum=10&trk=public_jobs_jserp-result_search-card,3 weeks ago
Senior Director - Executive Insights,Freshworks,None,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/lead-product-analyst-at-tata-1mg-3749885094?refId=p4kaaE88BWsHOObt9TMeKg%3D%3D&trackingId=%2B4QlphJMD4cYbKiw2vbWQg%3D%3D&position=18&pageNum=10&trk=public_jobs_jserp-result_search-card,6 days ago
Interesting Job Opportunity: Sigmoid Analytics - Senior Director - Analytics,Sigmoid,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/business-analytics-at-talent-socio-3693947286?refId=p4kaaE88BWsHOObt9TMeKg%3D%3D&trackingId=fRVpEUMeb8EZlUfxuWl6zw%3D%3D&position=19&pageNum=10&trk=public_jobs_jserp-result_search-card,2 months ago
Performance Analyst,Innovalus Technologies,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/inviting-applications-for-analytics-executive-eb2b-at-unilever-3504904996?refId=p4kaaE88BWsHOObt9TMeKg%3D%3D&trackingId=l4A0Lhtho3k%2F%2Fu4EdwhMRA%3D%3D&position=20&pageNum=10&trk=public_jobs_jserp-result_search-card,3 months ago
Lead Product Analyst,Tata 1mg,None,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/analyst-performance-analytics-at-alliancebernstein-3741967461?refId=p4kaaE88BWsHOObt9TMeKg%3D%3D&trackingId=mL9ZAP5N8kUqe%2BsGdDD76g%3D%3D&position=21&pageNum=10&trk=public_jobs_jserp-result_search-card,1 month ago
Business Analytics,Talent Socio,None,"Bangalore Urban, Karnataka, India",https://in.linkedin.com/jobs/view/urgent-requirement-sas-sql-power-bi-gurgaon-at-exl-3750850116?refId=p4kaaE88BWsHOObt9TMeKg%3D%3D&trackingId=R2Rg5tUTM0prBHqhNSxSqQ%3D%3D&position=22&pageNum=10&trk=public_jobs_jserp-result_search-card,3 days ago
Inviting Applications for Analytics Executive EB2B,Unilever,None,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/associate-media-monitoring-and-analysis-at-weber-shandwick-3745625389?refId=p4kaaE88BWsHOObt9TMeKg%3D%3D&trackingId=qZF69BZSvZ3P1qAPkzahxw%3D%3D&position=23&pageNum=10&trk=public_jobs_jserp-result_search-card,3 months ago
Analyst - Performance & Analytics,AllianceBernstein,None,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analyst-at-workongrid-3747023968?refId=p4kaaE88BWsHOObt9TMeKg%3D%3D&trackingId=Ps8w0w0xFcnJY3gvdFddlA%3D%3D&position=24&pageNum=10&trk=public_jobs_jserp-result_search-card,2 weeks ago
"Urgent Requirement-SAS, SQL, Power BI- Gurgaon",EXL,None,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/analyst-power-bi-oracle-otbi-reporting-at-dubai-jobs-gulf-jobs-jobs-in-dubai-qatar-kuwait-boyen-haddin-the-giant-hr-consultant-3687649534?refId=p4kaaE88BWsHOObt9TMeKg%3D%3D&trackingId=3NG29D005yQqiPjgb0PF6A%3D%3D&position=25&pageNum=10&trk=public_jobs_jserp-result_search-card,1 month ago
Associate - Media Monitoring and Analysis,Weber Shandwick,None,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/junior-power-bi-at-corporate-steps-3717023413?refId=0EXMa2jWv35gHbPGYTPVWA%3D%3D&trackingId=7Je67CEpHmnUYAaYUjHIMA%3D%3D&position=1&pageNum=11&trk=public_jobs_jserp-result_search-card,2 weeks ago
Data Analyst,WorkOnGrid,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/sap-analyst-etl-data-visualization-at-deqode-3743858119?refId=0EXMa2jWv35gHbPGYTPVWA%3D%3D&trackingId=a4%2FWpbp7xtKRZ6%2FNNLNOZQ%3D%3D&position=2&pageNum=11&trk=public_jobs_jserp-result_search-card,1 month ago
Analyst - Power BI/Oracle OTBI Reporting,"Dubai Jobs, Gulf Jobs, Jobs in Dubai, Qatar, Kuwait - Boyen Haddin & The Giant HR Consultant",None,Mumbai Metropolitan Region,https://in.linkedin.com/jobs/view/quantitative-analyst-at-graviton-research-capital-llp-3731677859?refId=0EXMa2jWv35gHbPGYTPVWA%3D%3D&trackingId=EdvAVx%2B%2FOKyVTogvZ5DR8A%3D%3D&position=3&pageNum=11&trk=public_jobs_jserp-result_search-card,3 weeks ago
Junior Power BI,Corporate Steps,None,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/data-spoke-manager-at-sodexo-benefits-and-rewards-services-3733218911?refId=0EXMa2jWv35gHbPGYTPVWA%3D%3D&trackingId=wp%2BPZklHA%2BZgssL2buldsQ%3D%3D&position=4&pageNum=11&trk=public_jobs_jserp-result_search-card,4 weeks ago
SAP Analyst - ETL/Data Visualization,Deqode,None,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/data-research-analyst-at-springup-labs-3682594587?refId=0EXMa2jWv35gHbPGYTPVWA%3D%3D&trackingId=fumf%2BM343rlqpw8frqEO6A%3D%3D&position=5&pageNum=11&trk=public_jobs_jserp-result_search-card,2 weeks ago
Quantitative Analyst,Graviton Research Capital LLP,None,"Gurugram, Haryana, India",https://in.linkedin.com/jobs/view/senior-data-analyst-at-cloudhire-3693655351?refId=0EXMa2jWv35gHbPGYTPVWA%3D%3D&trackingId=Qv8FRlNhRSieSnXVKsqZ2A%3D%3D&position=6&pageNum=11&trk=public_jobs_jserp-result_search-card,2 months ago
Data Spoke Manager,Sodexo Benefits and Rewards Services,None,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/functional-data-analyst-at-lera-technologies-3696745922?refId=0EXMa2jWv35gHbPGYTPVWA%3D%3D&trackingId=qW4aWM75fuxjXPaYfdrzpA%3D%3D&position=7&pageNum=11&trk=public_jobs_jserp-result_search-card,1 month ago
Data Research Analyst,SpringUp Labs,None,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/data-science-manager-at-themathcompany-3748871452?refId=0EXMa2jWv35gHbPGYTPVWA%3D%3D&trackingId=3ATxox1EyWr2ndoBLaAQ3g%3D%3D&position=8&pageNum=11&trk=public_jobs_jserp-result_search-card,1 month ago
Senior Data Analyst,CloudHire,None,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/data-analytics-internship-in-bangalore-at-bhash-software-labs-at-bhash-software-labs-3741557777?refId=0EXMa2jWv35gHbPGYTPVWA%3D%3D&trackingId=5TqOY6d%2FFh1GA09btnEyWQ%3D%3D&position=9&pageNum=11&trk=public_jobs_jserp-result_search-card,3 weeks ago
Functional Data Analyst,Lera Technologies,None,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/insights-manager-at-astrazeneca-3744293135?refId=0EXMa2jWv35gHbPGYTPVWA%3D%3D&trackingId=Xl5Z97WmBeyfcMKXjXyaIg%3D%3D&position=10&pageNum=11&trk=public_jobs_jserp-result_search-card,2 months ago
Data Science - Manager,TheMathCompany,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/product-analyst-at-uniabroad-3752423924?refId=0EXMa2jWv35gHbPGYTPVWA%3D%3D&trackingId=e5Rq3FfxKH6ERMy2V%2FvaCQ%3D%3D&position=11&pageNum=11&trk=public_jobs_jserp-result_search-card,1 week ago
Data Analytics Internship in Bangalore at Bhash Software Labs,Bhash Software Labs,None,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-at-indium-software-3725409548?refId=0EXMa2jWv35gHbPGYTPVWA%3D%3D&trackingId=MjrQCo1rbfBQzhwLt48gLA%3D%3D&position=12&pageNum=11&trk=public_jobs_jserp-result_search-card,3 months ago
Insights Manager,AstraZeneca,None,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/business-analytics-part-time-job-internship-at-bangalore-in-smoor-chocolates-at-smoor-chocolates-3748990013?refId=0EXMa2jWv35gHbPGYTPVWA%3D%3D&trackingId=q5pn7XSW3M6wO65spdzJhA%3D%3D&position=13&pageNum=11&trk=public_jobs_jserp-result_search-card,1 month ago
Product Analyst,UNIABROAD,None,India,https://in.linkedin.com/jobs/view/bi-engineer-ii-data-analytics-global-ar-data-analytics-at-amazon-3743864643?refId=0EXMa2jWv35gHbPGYTPVWA%3D%3D&trackingId=VB7skhE5ySRfgsx1bc7pxw%3D%3D&position=14&pageNum=11&trk=public_jobs_jserp-result_search-card,1 day ago
Data Analyst,Indium Software,None,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/lead-business-intelligence-and-data-engineering-specialist-at-spurtree-technologies-3754940844?refId=0EXMa2jWv35gHbPGYTPVWA%3D%3D&trackingId=AmRoEZcUHaPmSGltbMGOMQ%3D%3D&position=15&pageNum=11&trk=public_jobs_jserp-result_search-card,1 week ago
Business Analytics part time job/internship at Bangalore in Smoor Chocolates,SMOOR Chocolates,None,"Bengaluru East, Karnataka, India",https://in.linkedin.com/jobs/view/senior-data-analyst-t500-9017-at-hst-global-india-3754271405?refId=0EXMa2jWv35gHbPGYTPVWA%3D%3D&trackingId=PgVdCap5MpsLeYUOl35syw%3D%3D&position=16&pageNum=11&trk=public_jobs_jserp-result_search-card,2 weeks ago
"BI Engineer II, Data Analytics, Global AR Data Analytics",Amazon,None,"Hyderabad, Telangana, India",https://in.linkedin.com/jobs/view/data-processing-sr-analyst-market-research-at-dentsu-3755977322?refId=0EXMa2jWv35gHbPGYTPVWA%3D%3D&trackingId=PvYlsfS0pYvcMXRhSK3zGg%3D%3D&position=17&pageNum=11&trk=public_jobs_jserp-result_search-card,1 month ago
Lead Business Intelligence and Data Engineering Specialist,SpurTree Technologies,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/junior-data-analyst-dqs-at-lightcast-3748837844?refId=0EXMa2jWv35gHbPGYTPVWA%3D%3D&trackingId=P8C3C7vixo1AJ89v%2BqX4vw%3D%3D&position=18&pageNum=11&trk=public_jobs_jserp-result_search-card,1 month ago
Senior Data Analyst [T500-9017],"HST Global, India",None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/pocketfm-head-analytics-at-pocket-fm-3707614501?refId=0EXMa2jWv35gHbPGYTPVWA%3D%3D&trackingId=7q8FYC68%2BAIEhiiL5FgdvA%3D%3D&position=19&pageNum=11&trk=public_jobs_jserp-result_search-card,2 weeks ago
Data Processing - Sr Analyst - Market Research,dentsu,None,"Thane, Maharashtra, India",https://in.linkedin.com/jobs/view/senior-data-analyst-at-dailyhunt-3684961243?refId=0EXMa2jWv35gHbPGYTPVWA%3D%3D&trackingId=tPVCVjTkwnshf5yx3oglLw%3D%3D&position=20&pageNum=11&trk=public_jobs_jserp-result_search-card,1 week ago
Junior Data Analyst - DQS,Lightcast,None,"Chennai, Tamil Nadu, India",https://in.linkedin.com/jobs/view/qlik-bi-expert-at-holcim-global-digital-hub-3737092413?refId=0EXMa2jWv35gHbPGYTPVWA%3D%3D&trackingId=N%2BE0%2BkmShRkSU77LDGZ%2B8g%3D%3D&position=22&pageNum=11&trk=public_jobs_jserp-result_search-card,2 weeks ago
PocketFM - Head - Analytics,Pocket FM,None,Greater Kolkata Area,https://in.linkedin.com/jobs/view/data-analyst-at-onlinecounselling4u-3682591872?refId=0EXMa2jWv35gHbPGYTPVWA%3D%3D&trackingId=MN7J9wD7Y7JMbPO%2FrWmRLw%3D%3D&position=23&pageNum=11&trk=public_jobs_jserp-result_search-card,1 week ago
Senior Data Analyst,dailyhunt,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analyst-finance-at-hp-3747974901?refId=0EXMa2jWv35gHbPGYTPVWA%3D%3D&trackingId=vCnB0S1ObwoQZSAgC4WIRw%3D%3D&position=24&pageNum=11&trk=public_jobs_jserp-result_search-card,2 weeks ago
Varahe Analytics - Data Analyst - VBA/Tableau/Power BI,Varahe Analytics,None,"Bhubaneshwar, Odisha, India",https://in.linkedin.com/jobs/view/product-analyst-at-jar-3708919157?refId=0EXMa2jWv35gHbPGYTPVWA%3D%3D&trackingId=5uvZGXdopznwTOVzovd3AQ%3D%3D&position=25&pageNum=11&trk=public_jobs_jserp-result_search-card,3 weeks ago
Qlik BI Expert,Holcim Global Digital Hub,None,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/cyber-r-r-data-analytics-associate-2-at-pwc-acceleration-centers-in-india-3750190693?refId=rixhwKQH3HMTpPES0LkuPw%3D%3D&trackingId=Tdjq6jxoAzplTARRSuijhw%3D%3D&position=1&pageNum=12&trk=public_jobs_jserp-result_search-card,1 week ago
Data Analyst,OnlineCounselling4U,None,"Gurgaon, Haryana, India",https://in.linkedin.com/jobs/view/ind-associate-analyst-at-lowe-s-companies-inc-3756324868?refId=rixhwKQH3HMTpPES0LkuPw%3D%3D&trackingId=%2BimB0iaa7qQt4MC06pX9sA%3D%3D&position=2&pageNum=12&trk=public_jobs_jserp-result_search-card,1 week ago
Data Analyst-Finance,HP,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/mis-manager-at-paytm-3744911069?refId=rixhwKQH3HMTpPES0LkuPw%3D%3D&trackingId=D6KR%2BxedaJpS8USHXyH1cw%3D%3D&position=3&pageNum=12&trk=public_jobs_jserp-result_search-card,3 weeks ago
Product Analyst,Jar,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/hiring-for-data-engineer-analyst-for-leading-industrial-automation-company-pune-location-immediate-joiners-at-dubai-jobs-gulf-jobs-jobs-in-dubai-qatar-kuwait-boyen-haddin-the-giant-hr-consultant-3734248404?refId=rixhwKQH3HMTpPES0LkuPw%3D%3D&trackingId=KHaDYCdQyCrz%2BnmH4eoyag%3D%3D&position=4&pageNum=12&trk=public_jobs_jserp-result_search-card,2 weeks ago
Cyber R&R - Data Analytics - Associate 2,PwC Acceleration Centers in India,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/lead-analyst-lormn-at-lowe-s-india-3744355584?refId=rixhwKQH3HMTpPES0LkuPw%3D%3D&trackingId=uiZDsYJYpOXbOfHeoSH%2BUg%3D%3D&position=5&pageNum=12&trk=public_jobs_jserp-result_search-card,3 months ago
IND-Associate Analyst,"Lowe's Companies, Inc.",None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/assistant-manager-digital-cx-at-godrej-capital-3749536267?refId=rixhwKQH3HMTpPES0LkuPw%3D%3D&trackingId=%2B78783nejIzwpnhL98R%2FQA%3D%3D&position=6&pageNum=12&trk=public_jobs_jserp-result_search-card,2 weeks ago
MIS - Manager,Paytm,None,"Noida, Uttar Pradesh, India",https://in.linkedin.com/jobs/view/business-performance-analyst-at-ximkart-3756542669?refId=rixhwKQH3HMTpPES0LkuPw%3D%3D&trackingId=YRRl67b8a3Im7HiPjgmTDA%3D%3D&position=7&pageNum=12&trk=public_jobs_jserp-result_search-card,1 week ago
Hiring for Data Engineer/Analyst for Leading Industrial Automation Company - Pune Location - Immediate joiners,"Dubai Jobs, Gulf Jobs, Jobs in Dubai, Qatar, Kuwait - Boyen Haddin & The Giant HR Consultant",None,Pune/Pimpri-Chinchwad Area,https://in.linkedin.com/jobs/view/data-analyst-at-antal-international-3738605111?refId=rixhwKQH3HMTpPES0LkuPw%3D%3D&trackingId=LNkOJ%2FEgBGpSTRRD75Yq%2FA%3D%3D&position=8&pageNum=12&trk=public_jobs_jserp-result_search-card,1 week ago
"Lead Analyst, LORMN",Lowe's India,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/data-analytics-leader-at-mpokket-3748191024?refId=rixhwKQH3HMTpPES0LkuPw%3D%3D&trackingId=aCNOA8gYXJemwotBCpatTQ%3D%3D&position=9&pageNum=12&trk=public_jobs_jserp-result_search-card,2 months ago
Assistant Manager - Digital CX,Godrej Capital,None,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/lead-analyst-google-analytics-implementation-at-dentsu-3725249576?refId=rixhwKQH3HMTpPES0LkuPw%3D%3D&trackingId=c%2BZhWQzHpLsxengpZxAElA%3D%3D&position=10&pageNum=12&trk=public_jobs_jserp-result_search-card,1 day ago
Business Performance Analyst,XIMKART,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/senior-business-analytics-manager-content-studio-at-the-walt-disney-company-3709989953?refId=rixhwKQH3HMTpPES0LkuPw%3D%3D&trackingId=3DJY82GDo6tlBkviqzU6CQ%3D%3D&position=11&pageNum=12&trk=public_jobs_jserp-result_search-card,2 months ago
Data Analyst,Antal International,None,"Pune, Maharashtra, India",https://in.linkedin.com/jobs/view/bi-engineer-at-pepsico-3732150024?refId=rixhwKQH3HMTpPES0LkuPw%3D%3D&trackingId=K2P9VpMCL2mi4KfPSo%2Fcsg%3D%3D&position=12&pageNum=12&trk=public_jobs_jserp-result_search-card,1 week ago
Data Analytics Leader,mPokket,None,Greater Bengaluru Area,https://in.linkedin.com/jobs/view/sr-business-intelligence-analyst-data-insights-and-visualization-at-general-mills-3732553299?refId=rixhwKQH3HMTpPES0LkuPw%3D%3D&trackingId=hApDHUNXRSHAsBBExwLu3Q%3D%3D&position=13&pageNum=12&trk=public_jobs_jserp-result_search-card,4 weeks ago
Lead Analyst - (Google analytics implementation),dentsu,None,"Bengaluru, Karnataka, India",https://in.linkedin.com/jobs/view/product-analytics-senior-associate-at-athenahealth-3744365755?refId=rixhwKQH3HMTpPES0LkuPw%3D%3D&trackingId=EnC3YcMMNLk4yJsXMKxKBA%3D%3D&position=14&pageNum=12&trk=public_jobs_jserp-result_search-card,2 months ago
"Senior Business Analytics Manager, Content Studio",The Walt Disney Company,None,"Mumbai, Maharashtra, India",https://in.linkedin.com/jobs/view/big-data-analyst-bi-dw-program-management-at-dubai-jobs-gulf-jobs-jobs-in-dubai-qatar-kuwait-boyen-haddin-the-giant-hr-consultant-3687650057?refId=rixhwKQH3HMTpPES0LkuPw%3D%3D&trackingId=sXOVKmwFLj7x21uVfLDK3g%3D%3D&position=15&pageNum=12&trk=public_jobs_jserp-result_search-card,2 weeks ago
